model,val_loss,raw_val_mae,actions_per_call,seconds_per_call,seconds_per_action,smoothness_score
one_step_policy,0.26866190671920775,0.0724432,1,0.0003177698099989357,0.0003177698099989357,1.0033373
action_chunk_policy,0.2875092947483063,0.0791569,5,0.00015215073500030485,3.043014700006097e-05,0.07151363
